user_id,Gender,AGE,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35
26,No infor,From 25 to 34 ,326,4,19,17,1,1,1,1,3,3,5061580,5061580,486600,486600,486600,486600,1411300,1411300,486600,486600,470433.3333,222100,12,21,21,0,0,8,0,0,NO,,4,1,10000
27,Female,From 25 to 34 ,282,1,27,18,4,4,6,6,6,6,10728461,7349360,1965670,1965670,2587060,2587060,2587060,2587060,491417.5,431176.6667,431176.6667,391400,40,18.16666667,18.16666667,2,2,9,3,0,NO,,3,,
28,Female,From 25 to 34 ,197,40,17,14,,,4,4,6,6,5349660,4404260,,,1305340,1305340,1918600,1918600,,326335,319766.6667,300100,16,19.25,19.25,6,6,11,1,0,NO,250000,5,7,231428.5714
29,Nam,From 25 to 34 ,130,5,20,18,6,6,9,9,14,14,10594310,10594310,3741610,3741610,4901810,4901810,8753510,8753510,623601.6667,544645.5556,625250.7143,540260,28,14.90909091,14.90909091,4,4,15,1,3,NO,,6,2,900000
30,Nam,From 45 to 54 ,116,13,17,17,2,2,8,8,10,10,6658135,6658135,1045465,1045465,3836825,3836825,4490325,4490325,522732.5,479603.125,449032.5,361750,36,20,20,3,3,14,1,0,NO,,9,11,185402.7273
31,No infor,From 25 to 34 ,224,12,46,27,5,4,11,10,17,16,26682820,15528600,3411640,2057660,6747970,5393990,9922280,8568300,514415,539399,535518.75,329800,39,46,44.58333333,2,0,15,1,0,NO,875000,6,15,874047.3333
32,Female,From 25 to 34 ,166,4,33,22,4,4,6,6,13,11,14748319,11102550,2524500,2524500,3822400,3822400,6436920,5839750,631125,637066.6667,530886.3636,307280,9,12.66666667,12.66666667,6,4,13,2,2,NO,466666.6667,8,15,408786
33,Female,No infor,166,6,18,15,3,3,9,9,10,10,7964363,6294943,1487360,1487360,3258593,3258593,3573393,3573393,495786.6667,362065.8889,357339.3,315555,12,16.1,16.1,1,1,23,1,0,NO,407078.75,6,11,344863.6364
34,Nam,From 35 to 44 ,56,22,24,14,3,3,24,24,24,24,8990500,8990500,1940000,1940000,8990500,8990500,8990500,8990500,646666.6667,374604.1667,374604.1667,374400,1,21.7037037,21.7037037,2,2,13,1,0,NO,,4,,
35,Female,From 35 to 44 ,226,7,33,25,6,6,11,11,11,11,14314103,12151166,2973001,2973001,5763516,5763516,5763516,5763516,495500.1667,523956,523956,283600,17,19.33333333,19.33333333,8,8,15,3,0,NO,475000,6,14,428571.4286
36,Nam,From 45 to 54 ,337,3,74,36,8,6,16,14,24,21,59407232,20239700,5883469,3116126,10921483,8154140,15206949,11804505,519354.3333,582438.5714,562119.2857,309270,19,18.05882353,22.89473684,4,4,8,3,0,NO,,8,5,443000
37,Female,From 35 to 44 ,277,5,168,37,8,8,140,140,140,140,71246000,71246000,5096300,5096300,58168800,58168800,58168800,58168800,637037.5,415491.4286,415491.4286,304700,16,24.9,24.9,2,2,12,2,1,NO,,8,22,1666009.091
38,Female,From 25 to 34 ,256,5,49,21,6,2,10,2,15,5,17735135,9820800,2435434,763000,3579584,763000,5012209,1710700,381500,381500,342140,305500,7,3.5,13.09090909,10,4,15,7,0,NO,,7,,
39,Female,From 25 to 34 ,311,2,16,12,1,1,4,4,10,10,7890317,5105720,513530,513530,1963350,1963350,4469600,4469600,513530,490837.5,446960,315130,11,22.33333333,22.33333333,2,2,10,1,1,NO,361600,7,18,451932.6667
40,Female,From 35 to 44 ,132,4,14,14,2,2,4,4,9,9,10205043,10205043,1610105,1610105,3793975,3793975,7019353,7019353,805052.5,948493.75,779928.1111,859210,23,26.25,26.25,1,1,8,0,2,NO,1750000,9,23,1087485.435
41,No infor,Trên 55 ,167,43,14,12,,,3,3,5,5,4621162,4044050,,,958500,958500,1832380,1832380,,319500,366476,381900,10,8,8,1,1,17,2,4,NO,500000,5,13,484580.9231
